,name,wikidata,dates,gender,citizenship,birthplace,birth country,place of death,country of death,language,instrument
119,John Hilton the elder,http://www.wikidata.org/entity/Q6239329,1569-1608,male,Kingdom of England,,,,,English,"['pipe organ', 'voice']"
120,Maistre Jhan,http://www.wikidata.org/entity/Q6737089,1485-1538,male,France,,,Ferrara,Italy,,
121,Scipione Lacorcia,http://www.wikidata.org/entity/Q7434030,1585-1620,male,,Naples,Italy,,,Italian,
122,Sebastiano Festa,http://www.wikidata.org/entity/Q7442579,1495-1524,male,,,,Rome,Italy,,
123,Paolo Isnardi,http://www.wikidata.org/entity/Q16863445,1536-1596,male,,,,Ferrara,Italy,,
124,Antonio Gualtieri,http://www.wikidata.org/entity/Q16054417,1649,male,Republic of Venice,,,Venice,Italy,,
125,Johann Lyttich,http://www.wikidata.org/entity/Q20003638,1581-1611,male,,Plauen,Germany,,,,
126,Gabriele Fallamero,http://www.wikidata.org/entity/Q112456781,1584,male,,,,,,,
127,Andrea Feliciani,http://www.wikidata.org/entity/Q55227467,1596,male,,Siena,Italy,Siena,Italy,,
128,Camillo Lambardi,http://www.wikidata.org/entity/Q50316330,1560-1634,male,Kingdom of Naples,Naples,Italy,Naples,Italy,,
129,Thomas Hunt,http://www.wikidata.org/entity/Q99237806,1580-1658,male,,,,,,,
130,Giovan Battista Leonetti,http://www.wikidata.org/entity/Q107995775,1575-1617,male,,Crema,Italy,Crema,Italy,,
131,Girolamo Ferrari,http://www.wikidata.org/entity/Q113412847,1600-1664,male,,Mondondone,Italy,,,,
132,Henry Purcell,http://www.wikidata.org/entity/Q9695,1659-1695,male,Kingdom of England,Westminster,United Kingdom,Westminster,United Kingdom,English,"['harpsichord', 'pipe organ']"
133,Claudio Monteverdi,http://www.wikidata.org/entity/Q53068,1567-1643,male,Republic of Venice,Cremona,Italy,Venice,Italy,Italian,"['viol', 'pipe organ', 'viola da braccio']"
134,Girolamo Parabosco,http://www.wikidata.org/entity/Q29300,1524-1557,male,Republic of Venice,Piacenza,Italy,Venice,Italy,Italian,pipe organ
135,Giovanni Antonio Rigatti,http://www.wikidata.org/entity/Q142515,1615-1649,male,Republic of Venice,Venice,Italy,Venice,Italy,,
136,Cipriano de Rore,http://www.wikidata.org/entity/Q316074,1515-1565,male,Republic of Venice,Ronse,Belgium,Parma,Italy,Italian,
137,Francesco Rasi,http://www.wikidata.org/entity/Q363011,1574-1620,male,,Arezzo,Italy,,,Italian,voice
138,Claudio Merulo,http://www.wikidata.org/entity/Q380517,1533-1604,male,Republic of Venice,Correggio,Italy,Parma,Italy,Italian,"['organ', 'pipe organ']"
139,Jacob Regnart,http://www.wikidata.org/entity/Q267177,1540-1599,male,Southern Netherlands,Douai,France,Prague,Czech Republic,Dutch,
140,Michael Praetorius,http://www.wikidata.org/entity/Q108278,1571-1621,male,Duchy of Brunswick-Lüneburg,Creuzburg,Germany,Wolfenbüttel,Germany,Latin,organ
141,Philippe de Monte,http://www.wikidata.org/entity/Q277029,1521-1603,male,Spanish Netherlands,Mechelen,Belgium,Prague,Czech Republic,Dutch,
142,Thomas Morley,http://www.wikidata.org/entity/Q438141,1557-1603,male,"['England', 'Kingdom of England']",Norwich,United Kingdom,London,United Kingdom,English,"['organ', 'pipe organ']"
143,Giovanni Maria Nanino,http://www.wikidata.org/entity/Q706287,1543-1607,male,,Tivoli,Italy,Rome,Italy,Italian,
144,Thomas Ravenscroft,http://www.wikidata.org/entity/Q634595,1590-1633,male,United Kingdom of Great Britain and Ireland,Cheshire,United Kingdom,London,United Kingdom,English,
145,Salamone Rossi,http://www.wikidata.org/entity/Q713436,1570-1630,male,Duchy of Mantua,Mantua,Italy,Mantua,Italy,,violin
146,Giovanni Bernardino Nanino,http://www.wikidata.org/entity/Q723537,1560-1623,male,,Vallerano,Italy,Vallerano,Italy,,organ
147,Asprilio Pacelli,http://www.wikidata.org/entity/Q738001,1570-1623,male,,Stroncone,Italy,Warsaw,Poland,Italian,
148,Mogens Pedersøn,http://www.wikidata.org/entity/Q962427,1585-1623,male,Denmark,Copenhagen,Denmark,,,,
149,Giovanni Battista Mosto,http://www.wikidata.org/entity/Q1119331,1549-1596,male,Republic of Venice,Udine,Italy,Alba Iulia,Romania,,
150,Marco Scacchi,http://www.wikidata.org/entity/Q1357654,1600-1687,male,,Gallese,Italy,Gallese,Italy,Italian,violin
151,Giovanni Priuli,http://www.wikidata.org/entity/Q1445743,1575-1629,male,Republic of Venice,Venice,Italy,Vienna,Austria,"['German', 'Italian']",pipe organ
152,Vincenzo Ruffo,http://www.wikidata.org/entity/Q1494084,1508-1587,male,Republic of Venice,Verona,Italy,Sacile,Italy,,
153,Giovanni Rovetta,http://www.wikidata.org/entity/Q1526347,1596-1668,male,Republic of Venice,Venice,Italy,Venice,Italy,,organ
154,Melchior Neusidler,http://www.wikidata.org/entity/Q1919164,1531-1590,male,Germany,Nuremberg,Germany,Augsburg,Germany,German,lute
155,Peter Philips,http://www.wikidata.org/entity/Q1930460,1561-1628,male,United Kingdom of Great Britain and Ireland,London,United Kingdom,Brussels,Belgium,English,organ
156,Mario Savioni,http://www.wikidata.org/entity/Q1899013,1608-1685,male,,Rome,Italy,Rome,Italy,,
157,Martino Pesenti,http://www.wikidata.org/entity/Q1905637,1600-1648,male,Republic of Venice,Venice,Italy,Venice,Italy,,organ
158,Andreas Pevernage,http://www.wikidata.org/entity/Q2159084,1543-1591,male,,Harelbeke,Belgium,Antwerp,Belgium,,
159,Francis Pilkington,http://www.wikidata.org/entity/Q2462847,1562-1638,male,Kingdom of England,,,Chester,United Kingdom,English,lute
160,Angelo Notari,http://www.wikidata.org/entity/Q2849490,1566-1663,male,Republic of Venice,Padua,Italy,London,United Kingdom,,
161,Giovanni Domenico da Nola,http://www.wikidata.org/entity/Q2395209,1510-1592,male,Kingdom of Naples,Nola,Italy,Naples,Italy,Italian,
162,Erasmo Marotta,http://www.wikidata.org/entity/Q3731086,1578-1641,male,,Randazzo,Italy,Palermo,Italy,,
163,Jan Nasco,http://www.wikidata.org/entity/Q3767806,1510-1561,male,,,,,,,
164,Pietro Maria Marsolo,http://www.wikidata.org/entity/Q3904046,1580-1615,male,,Messina,Italy,Piacenza,Italy,,
165,Pomponio Nenna,http://www.wikidata.org/entity/Q3907903,1550- 1613,male,,Bari,Italy,Rome,Italy,Italian,
166,Robert Ramsey,http://www.wikidata.org/entity/Q3938401,1590-1644,male,United Kingdom,,,,,English,pipe organ
167,Alessandro Orologio,http://www.wikidata.org/entity/Q3610181,1550-1633,male,,San Giorgio della Richinvelda,Italy,Vienna,Austria,Italian,
168,Andrea Rota,http://www.wikidata.org/entity/Q3616007,1553-1597,male,,Bologna,Italy,Bologna,Italy,,
169,John Milton,http://www.wikidata.org/entity/Q110935304,1608-1674,,,,,,,,
170,John Mundy,http://www.wikidata.org/entity/Q3809503,1555-1630,male,United Kingdom of Great Britain and Ireland,,,Windsor,United Kingdom,,organ
171,David Sacerdote,http://www.wikidata.org/entity/Q5239412,1550-1625,male,,Roure,Italy,,,,
172,Benedetto Pallavicino,http://www.wikidata.org/entity/Q4887229,1551-1601,male,,Cremona,Italy,,,Italian,organ
173,Claudio Pari,http://www.wikidata.org/entity/Q5129392,1574-1619,male,,,,,,,
174,Galeazzo Sabbatini,http://www.wikidata.org/entity/Q5518314,1597-1662,male,,,,Pesaro,Italy,,
175,Giovan Leonardo Primavera,http://www.wikidata.org/entity/Q5563608,1540-1585,male,,Barletta,Italy,,,,
176,Ginés de Morata,http://www.wikidata.org/entity/Q5880038,1576,male,"['Spain', 'Portugal']",,,,,"['Latin', 'Spanish']",
177,Rinaldo del Mel,http://www.wikidata.org/entity/Q7334576,1554-1598,male,,Mechelen,Belgium,,,,
178,Stefano Rossetto,http://www.wikidata.org/entity/Q7606486,1560-1583,male,,,,,,,
179,Stephan Otto,http://www.wikidata.org/entity/Q7608155,1603-1656,male,Germany,,,,,German,
180,Tiburtio Massaino,http://www.wikidata.org/entity/Q7800551,1550-1608,male,,Cremona,Italy,Cremona,Italy,,
181,Francesco Portinaro,http://www.wikidata.org/entity/Q16863487,1520-1578,male,Republic of Venice,Padua,Italy,Padua,Italy,,
182,Hubert Naich,http://www.wikidata.org/entity/Q16863472,1513-1546,male,,,,,,,
183,Walter Porter,http://www.wikidata.org/entity/Q18759427,1587-1659,male,,,,,,,
184,Jeremy Savile,http://www.wikidata.org/entity/Q18810825,1651-1665,male,Kingdom of England,,,,,English,
185,Ippolito Sabino,http://www.wikidata.org/entity/Q49361116,1550-1593,male,,,,,,,
186,Ambrosius Metzger,http://www.wikidata.org/entity/Q55847929,1573-1632,male,Germany,,,,,German,
187,Daniel Norcome,http://www.wikidata.org/entity/Q55903969,1601,male,,,,,,,
188,Pietro Pace,http://www.wikidata.org/entity/Q63210400,1559-1622,male,,,,,,,
189,Giovan Domenico Montella,http://www.wikidata.org/entity/Q55998400,1570-1607,male,,,,,,,
190,Grammatio Metallo,http://www.wikidata.org/entity/Q61061769,1540-1615,male,,Province of Avellino,Italy,,,,
191,Filippo Nicoletti,http://www.wikidata.org/entity/Q87254387,1577-1620,male,,,,,,,
192,Domenico Micheli,http://www.wikidata.org/entity/Q87642969,1540-1590,male,,Bologna,Italy,,,,
193,Bartolomeo Ratti,http://www.wikidata.org/entity/Q88300377,1565-1634,male,Republic of Venice,,,,,,
194,Biagio Pesciolini,http://www.wikidata.org/entity/Q101439336,1610,male,,Prato,Italy,,,,
195,Santi Orlandi,http://www.wikidata.org/entity/Q102035932,1619,male,,,,,,,
196,Nathaniel Patrick,http://www.wikidata.org/entity/Q98915412,1590,male,United Kingdom,Worcester,United Kingdom,Worcester,United Kingdom,English,
197,Johann Hermann Schein,http://www.wikidata.org/entity/Q57827,1586-1630,male,Germany,Grünhain,Germany,Leipzig,Germany,German,
198,Ludwig Senfl,http://www.wikidata.org/entity/Q110133949,1490-1543,,,,,,,,
199,Adrian Willaert,http://www.wikidata.org/entity/Q312615,1490-1562,male,County of Flanders,Rumbeke,Belgium,Venice,Italy,Dutch,
200,Barbara Strozzi,http://www.wikidata.org/entity/Q232235,1619-1677,female,Republic of Venice,Venice,Italy,Padua,Italy,"['Italian', 'Venetian']",lute
201,Alessandro Stradella,http://www.wikidata.org/entity/Q314765,1639-1682,male,Papal States,Bologna,Italy,Genoa,Italy,Italian,"['violin', 'voice']"
202,Heinrich Schütz,http://www.wikidata.org/entity/Q153643,1585-1672,male,Germany,Bad Köstritz,Germany,Dresden,Germany,German,organ
203,Orazio Vecchi,http://www.wikidata.org/entity/Q84146,1550-1605,male,,Modena,Italy,Modena,Italy,Italian,
204,Gioseffo Zarlino,http://www.wikidata.org/entity/Q365805,1517-1590,male,Republic of Venice,Chioggia,Italy,Venice,Italy,Italian,organ
205,Vincenzo Ugolini,http://www.wikidata.org/entity/Q330488,1570-1638,male,,Perugia,Italy,Rome,Italy,,violin
206,Jan Pieterszoon Sweelinck,http://www.wikidata.org/entity/Q110294,1562-1621,male,Netherlands,Deventer,Netherlands,Amsterdam,Netherlands,Dutch,organ
207,Alessandro Scarlatti,http://www.wikidata.org/entity/Q183087,1660-1725,male,,Palermo,Italy,Naples,Italy,Italian,harpsichord
208,Jan Tollius,http://www.wikidata.org/entity/Q284127,1550-1603,male,Denmark,Amersfoort,Netherlands,Copenhagen,Denmark,,voice
209,John Ward,http://www.wikidata.org/entity/Q447968,1571-1638,male,United Kingdom of Great Britain and Ireland,Canterbury,United Kingdom,Essex,United Kingdom,,
210,Giaches de Wert,http://www.wikidata.org/entity/Q591939,1535-1596,male,Habsburg Netherlands,Weert,Belgium,Mantua,Italy,Dutch,
211,Bartolomeo Tromboncino,http://www.wikidata.org/entity/Q809518,1470-1534,male,Republic of Venice,Verona,Italy,Venice,Italy,,trombone
212,Philippe Verdelot,http://www.wikidata.org/entity/Q714219,1480-1530,male,France,Verdelot,France,Florence,Italy,French,
213,Johann Stadlmayr,http://www.wikidata.org/entity/Q472907,1575-1648,male,Germany,Freising,Germany,Innsbruck,Austria,German,
214,Thomas Weelkes,http://www.wikidata.org/entity/Q553908,1575-1623,male,United Kingdom of Great Britain and Ireland,Sussex,United Kingdom,London,United Kingdom,English,organ
215,John Wilbye,http://www.wikidata.org/entity/Q682089,1574-1638,male,Kingdom of England,Diss,United Kingdom,Colchester,United Kingdom,English,
216,Nicola Vicentino,http://www.wikidata.org/entity/Q944773,1511-1576,male,"['Republic of Venice', 'Holy Roman Empire']",Vicenza,Italy,Milan,Italy,Italian,
217,Cornelis Schuyt,http://www.wikidata.org/entity/Q749364,1557-1616,male,Netherlands,Leiden,Netherlands,Leiden,Netherlands,Dutch,"['organ', 'pipe organ']"
218,Francesco Turini,http://www.wikidata.org/entity/Q1441256,1589-1656,male,,Prague,Czech Republic,Brescia,Italy,Italian,pipe organ
219,Thomas Tomkins,http://www.wikidata.org/entity/Q968698,1572-1656,male,"['Wales', 'United Kingdom of Great Britain and Ireland']",St Davids,United Kingdom,Worcestershire,United Kingdom,English,organ
220,Francesco Soriano,http://www.wikidata.org/entity/Q1376058,1548-1621,male,Papal States,Soriano nel Cimino,Italy,Rome,Italy,,
221,Alessandro Striggio,http://www.wikidata.org/entity/Q1377115,1536-1592,male,"['Grand Duchy of Tuscany', 'Duchy of Florence']",Mantua,Italy,Mantua,Italy,,
222,Johannes Schultz,http://www.wikidata.org/entity/Q1406864,1582-1653,male,Germany,Lüneburg,Germany,Dannenberg (Elbe),Germany,German,
223,Thomas Whythorne,http://www.wikidata.org/entity/Q2124600,1528-1596,male,United Kingdom,,,,,English,
224,Hubert Waelrant,http://www.wikidata.org/entity/Q2664749,1516-1595,male,Southern Netherlands,,,Antwerp,Belgium,,
225,Annibale Zoilo,http://www.wikidata.org/entity/Q2920312,1537-1592,male,Papal States,Rome,Italy,Loreto,Italy,,
226,Filippo Vitali,http://www.wikidata.org/entity/Q3071924,1590-1653,male,,Florence,Italy,Florence,Italy,,voice
227,Ascanio Trombetti,http://www.wikidata.org/entity/Q2866349,1544-1590,male,,Bologna,Italy,,,Italian,
228,Pietro Vinci,http://www.wikidata.org/entity/Q3388207,1525-1584,male,,Nicosia,Italy,Nicosia,Italy,Italian,
229,Edmund Turges,http://www.wikidata.org/entity/Q3719486,1450-1507,male,United Kingdom of Great Britain and Ireland,Petworth,United Kingdom,,,,
230,Paolo Virchi,http://www.wikidata.org/entity/Q3894585,1551-1610,male,,Brescia,Italy,,,,
231,Claudio Veggio,http://www.wikidata.org/entity/Q5129425,1510-1543,male,,Piacenza,Italy,,,,
232,Girolamo Scotto,http://www.wikidata.org/entity/Q5564788,1505-1572,male,Republic of Venice,Milan,Italy,Venice,Italy,,
233,Pietro Taglia,http://www.wikidata.org/entity/Q7193041,1555-65,male,,,,,,,
234,Stefano Venturi del Nibbio,http://www.wikidata.org/entity/Q7606503,1592-1600,male,,,,,,,
235,Antonio Francesco Tenaglia,http://www.wikidata.org/entity/Q10954739,1612-1672,male,,Florence,Italy,Rome,Italy,,organ
236,Orfeo Vecchi,http://www.wikidata.org/entity/Q11939478,1551-1603,male,,,,,,,
237,Thomas Vautor,http://www.wikidata.org/entity/Q11951781,1600-1620,male,Kingdom of England,,,,,,
238,Bartolomeo Spontone,http://www.wikidata.org/entity/Q21001517,1530-1592,male,,,,,,,
239,Melchior Schramm,http://www.wikidata.org/entity/Q24049612,1553-1619,male,,Ziębice,Poland,Offenburg,Germany,,organ
240,Agostino Soderini,http://www.wikidata.org/entity/Q77535913,1575-1607,,,,,,,,
241,Camillo Zanotti,http://www.wikidata.org/entity/Q84562722,1545-1591,male,,,,,,,
242,Cesare Zoilo,http://www.wikidata.org/entity/Q109265169,1584-1622,male,Papal States,,,Rome,Italy,,
243,Flaminio Tresti,http://www.wikidata.org/entity/Q110222853,1560-1613,,,,,,,,
244,Tielman Susato,http://www.wikidata.org/entity/Q547783,1500-1570,male,Habsburg Netherlands,Soest,Germany,Stockholm,Sweden,,
